date,price_forecast,base_dif,base_dif_per,punta_precio,punta_dif,punta_dif_per,request_time
2022-01-07,180.2,28.05,18.44,187.66,29.22,18.44,2022-01-05 09:00:01.544073+00:00
2022-01-08,201.52,0.0,0.0,,,,2022-01-05 09:00:01.544073+00:00
2022-01-09,163.44,0.0,0.0,,,,2022-01-05 09:00:01.544073+00:00
2022-01-10,253.0,29.03,12.96,263.47,30.23,12.96,2022-01-05 09:00:01.544073+00:00
2022-01-11,253.0,29.03,12.96,263.47,30.23,12.96,2022-01-05 09:00:01.544073+00:00
2022-01-12,253.0,29.03,12.96,263.47,30.23,12.96,2022-01-05 09:00:01.544073+00:00
2022-01-13,253.0,29.03,12.96,263.47,30.23,12.96,2022-01-05 09:00:01.544073+00:00
2022-01-14,253.0,29.03,12.96,263.47,30.23,12.96,2022-01-05 09:00:01.544073+00:00
2022-01-15,190.5,21.86,12.96,,,,2022-01-05 09:00:01.544073+00:00
2022-01-16,154.48,17.72,12.96,,,,2022-01-05 09:00:01.544073+00:00
2022-01-17,209.0,-4.47,-2.09,217.65,-4.65,-2.09,2022-01-05 09:00:01.544073+00:00
2022-01-18,209.0,-4.47,-2.09,217.65,-4.65,-2.09,2022-01-05 09:00:01.544073+00:00
2022-01-19,209.0,-4.47,-2.09,217.65,-4.65,-2.09,2022-01-05 09:00:01.544073+00:00
2022-01-20,209.0,-4.47,-2.09,217.65,-4.65,-2.09,2022-01-05 09:00:01.544073+00:00
2022-01-21,209.0,-4.47,-2.09,217.65,-4.65,-2.09,2022-01-05 09:00:01.544073+00:00
2022-01-22,157.37,-3.35,-2.08,,,,2022-01-05 09:00:01.544073+00:00
2022-01-23,127.61,-2.73,-2.09,,,,2022-01-05 09:00:01.544073+00:00
2022-01-24,255.37,31.9,14.27,265.94,33.22,14.27,2022-01-05 09:00:01.544073+00:00
2022-01-25,255.37,31.9,14.27,265.94,33.22,14.27,2022-01-05 09:00:01.544073+00:00
2022-01-26,255.37,31.9,14.27,265.94,33.22,14.27,2022-01-05 09:00:01.544073+00:00
2022-01-27,255.37,31.9,14.27,265.94,33.22,14.27,2022-01-05 09:00:01.544073+00:00
2022-01-28,255.37,31.9,14.27,265.94,33.22,14.27,2022-01-05 09:00:01.544073+00:00
2022-01-29,192.27,24.02,14.28,,,,2022-01-05 09:00:01.544073+00:00
2022-01-30,155.93,19.48,14.28,,,,2022-01-05 09:00:01.544073+00:00
2022-01-31,257.08,33.61,15.04,267.72,35.0,15.04,2022-01-05 09:00:01.544073+00:00
2022-02-01,257.08,31.58,14.0,267.72,32.89,14.01,2022-01-05 09:00:01.544073+00:00
2022-02-02,257.08,31.58,14.0,267.72,32.89,14.01,2022-01-05 09:00:01.544073+00:00
2022-02-03,257.08,31.58,14.0,267.72,32.89,14.01,2022-01-05 09:00:01.544073+00:00
2022-02-04,257.08,31.58,14.0,267.72,32.89,14.01,2022-01-05 09:00:01.544073+00:00
2022-02-05,193.56,23.78,14.01,,,,2022-01-05 09:00:01.544073+00:00
2022-02-06,156.98,19.29,14.01,,,,2022-01-05 09:00:01.544073+00:00
2022-02-07,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-08,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-09,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-10,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-11,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-12,193.86,24.08,14.18,,,,2022-01-05 09:00:01.544073+00:00
2022-02-13,157.22,19.53,14.18,,,,2022-01-05 09:00:01.544073+00:00
2022-02-14,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-15,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-16,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-17,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-18,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-19,193.86,24.08,14.18,,,,2022-01-05 09:00:01.544073+00:00
2022-02-20,157.22,19.53,14.18,,,,2022-01-05 09:00:01.544073+00:00
2022-02-21,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-22,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-23,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-24,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-25,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-02-26,193.86,24.08,14.18,,,,2022-01-05 09:00:01.544073+00:00
2022-02-27,157.22,19.53,14.18,,,,2022-01-05 09:00:01.544073+00:00
2022-02-28,257.49,31.99,14.19,268.15,33.32,14.19,2022-01-05 09:00:01.544073+00:00
2022-01-06,212.98,32.78,18.19,219.56,31.9,17.0,2022-01-06 06:00:02.260685+00:00
