price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Day 1-Jul-2022;163.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 2-Jul-2022;147.73;-20.31;-12.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 3-Jul-2022;130.65;-17.97;-12.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 4-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 5-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 6-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 7-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 8-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 9-Jul-2022;135.65;-20.31;-13.02;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 10-Jul-2022;119.97;-17.97;-13.03;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 11-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 12-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 13-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 14-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 15-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 16-Jul-2022;135.1;-19.79;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 17-Jul-2022;119.48;-17.51;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 18-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 19-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 20-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 21-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
